Teks,Bab,Pasal,Ayat,Poin,Penjelasan
"Huruf c Warisan yang belum terbagi yang ditinggalkan oleh orang pribadi subjek pajak dalam negeri dianggap sebagai subjek pajak dalam negeri dalam pengertian Undang-Undang ini mengikuti status pewaris. Adapun untuk pelaksanaan pemenuhan kewajiban perpajakannya, warisan tersebut menggantikan kewajiban ahli waris yang berhak. Apabila warisan tersebut telah dibagi, kewajiban perpajakannya beralih kepada ahli waris .TaxBase 6.0 Document - Page : 4Warisan yang belum terbagi yang ditinggalkan oleh orang pribadi sebagai subjek pajak luar negeri yang tidak menjalankan usaha atau melakukan kegiatan melalui suatu bentuk usaha tetap di Indonesia, tidak dianggap sebagai subjek pajak pengganti karena pengenaan pajak atas penghasilan yang diterima atau diperoleh orang pribadi dimaksud melekat pada objeknya . Ayat (4) Subjek pajak luar negeri adalah orang pribadi atau badan yang bertempat tinggal atau bertempat kedudukan di luar Indonesia yang dapat menerima atau memperoleh penghasilan dari Indonesia, baik melalui maupun tanpa melalui bentuk usaha tetap. Orang pribadi yang tidak bertempat tinggal di Indonesia, tetapi berada di Indonesia tidak lebih dari 183 (seratus delapan puluh tiga) hari dalam jangka waktu 12 (dua belas) bulan maka orang tersebut adalah subjek pajak luar negeri. Apabila penghasilan diterima atau diperoleh melalui bentuk usaha tetap maka terhadap orang pribadi atau badan tersebut dikenai pajak melalui bentuk usaha tetap. Orang pribadi atau badan tersebut, statusnya tetap sebagai subjek pajak luar negeri. Dengan demikian, bentuk usaha tetap tersebut menggantikan orang pribadi atau badan sebagai subjek pajak luar negeri dalam memenuhi kewajiban perpajakannya di Indonesia. Dalam hal penghasilan tersebut diterima atau diperoleh tanpa melalui bentuk usaha tetap maka pengenaan pajaknya dilakukan langsung kepada subjek pajak luar negeri tersebut . Ayat (5) Suatu bentuk usaha tetap mengandung pengertian adanya suatu tempat usaha (place of business) yaitu fasilitas yang dapat berupa tanah dan gedung termasuk juga mesin-mesin, peralatan, gudang dan komputer atau agen elektronik atau peralatan otomatis (automated equipment) yang dimiliki, disewa, atau digunakan oleh penyelenggara transaksi elektronik untuk menjalankan aktivitas usaha melalui internet. Tempat usaha tersebut bersifat permanen dan digunakan untuk menjalankan usaha atau melakukan kegiatan dari orang pribadi yang tidak bertempat tinggal atau badan yang tidak didirikan dan tidak bertempat kedudukan di Indonesia. Pengertian bentuk usaha tetap mencakup pula orang pribadi atau badan selaku agen yang kedudukannya tidak bebas yang bertindak untuk dan atas nama orang pribadi atau badan yang tidak bertempat tinggal atau tidak bertempat kedudukan di Indonesia. Orang pribadi yang tidak bertempat tinggal atau badan yang tidak didirikan dan tidak bertempat kedudukan di Indonesia tidak dapat dianggap mempunyai bentuk usaha tetap di Indonesia apabila orang pribadi atau badan dalam menjalankan usaha atau melakukan kegiatan di Indonesia menggunakan agen, broker atau perantara yang mempunyai kedudukan bebas, asalkan agen atau perantara tersebut dalam kenyataannya bertindak sepenuhnya dalam rangka menjalankan perusahaannya sendiri. Perusahaan asuransi yang didirikan dan bertempat kedudukan di luar Indonesia dianggap mempunyai bentuk usaha tetap di Indonesia apabila perusahaan asuransi tersebut menerima pembayaran premi asuransi atau menanggung risiko di Indonesia melalui pegawai, perwakilan atau agennya di Indonesia. Menanggung risiko di Indonesia tidak berarti bahwa peristiwa yang mengakibatkan risiko tersebut terjadi di Indonesia. Yang perlu diperhatikan adalah bahwa pihak tertanggung bertempat tinggal, berada, atau bertempat kedudukan di Indonesia. Ayat (6) Penentuan tempat tinggal orang pribadi atau tempat kedudukan badan penting untuk menetapkan Kantor Pelayanan Pajak mana yang mempunyai yurisdiksi pemajakan atas penghasilan yang diterima atau diperoleh orang pribadi atau badan tersebut. Pada dasarnya tempat tinggal orang pribadi atau tempat kedudukan badan ditentukan menurut keadaan yang sebenarnya. Dengan demikian penentuan tempat tinggal atau tempat kedudukan tidak hanya didasarkan pada pertimbangan yang bersifat formal, tetapi lebih didasarkan pada kenyataan. Beberapa hal yang perlu dipertimbangkan oleh Direktur Jenderal Pajak dalam menentukan tempat tinggal seseorang atau tempat kedudukan badan tersebut, antara lain domisili, alamat tempat tinggal, tempat tinggal keluarga, tempat menjalankan usaha pokok atau hal-hal lain yang perlu dipertimbangkan untuk memudahkan pelaksanaan pemenuhan kewajiban pajak.TaxBase 6.0 Document - Page : 5Pasal 2A (UU No. 10 Tahun 1994) ",II,2,6,u,Bukan
"(1)Kewajiban pajak subjektif orang pribadi sebagaimana dimaksud dalam Pasal 2 ayat (3) huruf a dimulai pada saat orang pribadi tersebut dilahirkan, berada, atau berniat untuk bertempat tinggal di Indonesia dan berakhir pada saat meninggal dunia atau meninggalkan Indonesia untuk selama-lamanya. ",II,2,1,,Bukan
(2)Kewajiban pajak subjektif badan sebagaimana dimaksud dalam Pasal 2 ayat (3) huruf b dimulai pada saat badan tersebut didirikan atau bertempat kedudukan di Indonesia dan berakhir pada saat dibubarkan atau tidak lagi bertempat kedudukan di Indonesia. ,II,2,2,,Bukan
(3)Kewajiban pajak subjektif orang pribadi atau badan sebagaimana dimaksud dalam pasal 2 ayat (4) huruf a dimulai pada saat orang pribadi atau badan tersebut menjalankan usaha atau melakukan kegiatan sebagaimana dimaksud dalam Pasal 2 ayat (5) dan berakhir pada saat tidak lagi menjalankan usaha atau melakukan kegiatan melalui bentuk usaha tetap. ,II,2,3,,Bukan
(4)Kewajiban pajak subjektif orang pribadi atau badan sebagaimana dimaksud dalam Pasal 2 ayat (4) huruf b dimulai pada saat orang pribadi atau badan tersebut menerima atau memperoleh penghasilan dari Indonesia dan berakhir pada saat tidak lagi menerima atau memperoleh penghasilan tersebut. ,II,2,4,,Bukan
(5)Kewajiban pajak subjektif warisan yang belum terbagi sebagaimana dimaksud dalam Pasal 2 ayat (1) huruf a angka 2) dimulai pada saat timbulnya warisan yang belum terbagi tersebut dan berakhir pada saat warisan tersebut selesai dibagi. ,II,2,5,,Bukan
"(6)Apabila kewajiban pajak subjektif orang pribadi yang bertempat tinggal atau yang berada di Indonesia hanya meliputi sebagian dari tahun pajak, maka bagian tahun pajak tersebut menggantikan tahun pajak. ",II,2,6,,Bukan
"Pajak Penghasilan merupakan jenis pajak subjektif yang kewajiban pajaknya melekat pada Subjek Pajak yang bersangkutan, artinya kewajiban pajak tersebut dimaksudkan untuk tidak dilimpahkan kepada Subjek Pajak lainnya. Oleh karena itu dalam rangka memberikan kepastian hukum, penentuan saat mulai dan berakhirnya kewajiban pajak subjektif menjadi penting. Ayat (1) Kewajiban pajak subjektif orang pribadi yang bertempat tinggal di Indonesia dimulai pada saat ia lahir di Indonesia. Untuk orang pribadi yang berada di Indonesia lebih dari 183 (seratus delapan puluh tiga) hari dalam jangka waktu 12 (dua belas) bulan, kewajiban pajak subjektifnya dimulai sejak hari pertama ia berada di Indonesia. Kewajiban pajak subjektif orang pribadi berakhir pada saat ia meninggal dunia atau meninggalkan Indonesia untuk selama-lamanya. Pengertian meninggalkan Indonesia untuk selama-lamanya harus dikaitkan dengan hal-hal yang nyata pada saat orang pribadi tersebut meninggalkan Indonesia. Apabila pada saat ia meninggalkan Indonesia terdapat bukti-bukti yang nyata mengenai niatnya untuk meninggalkan Indonesia untuk selama-lamanya, maka pada saat itu ia tidak lagi menjadi Subjek Pajak dalam negeri. Ayat (2) Cukup jelas. Ayat (3) Bagi orang pribadi yang tidak bertempat tinggal dan berada di Indonesia tidak lebih dari 183 (seratus delapan puluh tiga) hari, dan badan yang tidak didirikan dan tidak bertempat kedudukan di Indonesia, yang menjalankan usaha atau melakukan kegiatan di Indonesia melalui suatu bentuk usaha tetap, kewajiban pajak subjektifnya dimulai pada saat bentuk usaha tetap tersebut berada di Indonesia dan berakhir pada saat bentuk usaha tetap tersebut tidak lagi berada di Indonesia. Ayat (4) Orang pribadi yang tidak bertempat tinggal atau berada di Indonesia tidak lebih dari 183 (seratus delapan puluh tiga) hari dan badan yang tidak didirikan dan tidak bertempat kedudukan di Indonesia dan tidak menjalankan usaha atau melakukan kegiatan melalui bentuk usaha tetap di Indonesia, adalah Subjek Pajak luar negeri sepanjang orang pribadi atau badan tersebut mempunyai hubungan ekonomis denganTaxBase 6.0 Document - Page : 6Indonesia. Hubungan ekonomis dengan Indonesia dianggap ada apabila orang pribadi atau badan tersebut menerima atau memperoleh penghasilan yang berasal dari sumber penghasilan di Indonesia. Kewajiban pajak subjektif orang pribadi atau badan tersebut dimulai pada saat orang pribadi atau badan mempunyai hubungan ekonomis dengan Indonesia, yaitu menerima atau memperoleh penghasilan dari sumber-sumber di Indonesia dan berakhir pada saat orang pribadi atau badan tersebut tidak lagi mempunyai hubungan ekonomis dengan Indonesia. Ayat (5) Kewajiban pajak subjektif warisan yang belum terbagi dimulai pada saat timbulnya warisan yang belum terbagi tersebut yaitu pada saat meninggalnya pewaris. Sejak saat itu pemenuhan kewajiban perpajakannya melekat pada warisan tersebut. Kewajiban pajak subjektif warisan berakhir pada saat warisan tersebut dibagi kepada para ahli waris. Sejak saat itu pemenuhan kewajiban perpajakannya beralih kepada para ahli waris. Ayat (6) Dapat terjadi orang pribadi menjadi Subjek Pajak tidak untuk jangka waktu satu tahun pajak penuh, misalnya orang pribadi yang mulai menjadi Subjek Pajak pada pertengahan tahun pajak, atau yang meninggalkan Indonesia untuk selama-lamanya pada pertengahan tahun pajak. Jangka waktu yang kurang dari satu tahun pajak tersebut dinamakan bagian tahun pajak yang menggantikan tahun pajak. ",II,2,6,,Ya
(1)Yang tidak termasuk subjek pajak sebagaimana dimaksud dalam Pasal 2 adalah : ,II,3,1,,Bukan
a.kantor perwakilan negara asing; ,II,3,1,a,Bukan
b.pejabat-pejabat perwakilan diplomatik dan konsulat atau pejabat-pejabat lain dari negara asing dan orang-orang yang diperbantukan kepada mereka yang bekerja pada dan bertempat tinggal bersama-sama mereka dengan syarat bukan warga negara Indonesia dan di Indonesia tidak menerima atau memperoleh penghasilan di luar jabatan atau pekerjaannya tersebut serta negara bersangkutan memberikan perlakuan timbal balik; ,II,3,1,b,Bukan
c.organisasi-organisasi internasional dengan syarat : 1.Indonesia menjadi anggota organisasi tersebut; dan 2.tidak menjalankan usaha atau kegiatan lain untuk memperoleh penghasilan dari Indonesia selain memberikan pinjaman kepada pemerintah yang dananya berasal dari iuran para anggota; ,II,3,1,c,Bukan
"d.pejabat-pejabat perwakilan organisasi internasional sebagaimana dimaksud pada huruf c, dengan syarat bukan warga negara Indonesia dan tidak menjalankan usaha, kegiatan, atau pekerjaan lain untuk memperoleh penghasilan dari Indonesia. ",II,3,1,d,Bukan
(2)Organisasi internasional yang tidak termasuk subjek pajak sebagaimana dimaksud pada ayat (1) huruf c ditetapkan dengan Keputusan Menteri Keuangan. ,II,3,2,,Bukan
"Ayat (1) Sesuai dengan kelaziman internasional, kantor perwakilan negara asing beserta pejabat-pejabat perwakilan diplomatik, konsulat dan pejabat-pejabat lainnya, dikecualikan sebagai subjek pajak di tempat mereka mewakili negaranya. Pengecualian sebagai subjek pajak bagi pejabat-pejabat tersebut tidak berlaku apabila mereka memperoleh penghasilan lain di luar jabatannya atau mereka adalah Warga Negara Indonesia. Dengan demikian apabila pejabat perwakilan suatu negara asing memperoleh penghasilan lain di Indonesia di luar jabatan atau pekerjaannya tersebut, maka ia termasuk subjek pajak yang dapat dikenai pajak atas penghasilan lain tersebut. Ayat (2) Cukup jelas.TaxBase 6.0 Document - Page : 7BAB III OBJEK PAJAK ",II,3,2,,Ya
"(1) Yang menjadi objek pajak adalah penghasilan, yaitu setiap tambahan kemampuan ekonomis yang diterima atau diperoleh Wajib Pajak, baik yang berasal dari Indonesia maupun dari luar Indonesia, yang dapat dipakai untuk konsumsi atau untuk menambah kekayaan Wajib Pajak yang bersangkutan, dengan nama dan dalam bentuk apa pun, termasuk: ",II,4,1,,Bukan
"a.Penggantian atau imbalan berkenaan dengan pekerjaan atau jasa yang diterima atau diperoleh termasuk gaji, upah, tunjangan, honorarium, komisi, bonus, gratifikasi, uang pensiun, atau imbalan dalam bentuk lainnya termasuk natura dan/atau kenikmatan, kecuali ditentukan lain dalam Undang-Undang ini; ",II,4,1,a,Bukan
"b.hadiah dari undian atau pekerjaan atau kegiatan, dan penghargaan; ",II,4,1,b,Bukan
c.laba usaha; ,II,4,1,c,Bukan
"d.keuntungan karena penjualan atau karena pengalihan harta termasuk : 1.keuntungan karena pengalihan harta kepada perseroan, persekutuan, dan badan lainnya sebagai pengganti saham atau penyertaan modal; 2.keuntungan karena pengalihan harta kepada pemegang saham, sekutu, atau anggota yang diperoleh perseroan, persekutuan, dan badan lainnya; 3.keuntungan karena likuidasi, penggabungan, peleburan, pemekaran, pemecahan, pengambilalihan usaha, atau reorganisasi dengan nama dan dalam bentuk apa pun; 4.keuntungan karena pengalihan harta berupa hibah, bantuan, atau sumbangan, kecuali yang diberikan kepada keluarga sedarah dalam garis keturunan lurus satu derajat dan badan keagamaan, badan pendidikan, badan sosial termasuk yayasan, koperasi, atau orang pribadi yang menjalankan usaha mikro dan kecil, yang ketentuannya diatur lebih lanjut dengan Peraturan Menteri Keuangan, sepanjang tidak ada hubungan dengan usaha, pekerjaan, kepemilikan, atau penguasaan di antara pihak-pihak yang bersangkutan; dan 5.keuntungan karena penjualan atau pengalihan sebagian atau seluruh hak penambangan, tanda turut serta dalam pembiayaan, atau permodalan dalam perusahaan pertambangan; ",II,4,1,d,Bukan
e.penerimaan kembali pembayaran pajak yang telah dibebankan sebagai biaya dan pembayaran tambahan pengembalian pajak; ,II,4,1,e,Bukan
"f.bunga termasuk premium, diskonto, dan imbalan karena jaminan pengembalian utang; ",II,4,1,f,Bukan
"g.dividen, dengan nama dan dalam bentuk apapun, termasuk dividen dari perusahaan asuransi kepada pemegang polis; ",II,4,1,g,Bukan
h.royalti atau imbalan atas penggunaan hak; ,II,4,1,h,Bukan
i.sewa dan penghasilan lain sehubungan dengan penggunaan harta; ,II,4,1,i,Bukan
j.penerimaan atau perolehan pembayaran berkala; ,II,4,1,j,Bukan
"k.keuntungan karena pembebasan utang, kecuali sampai dengan jumlah tertentu yang ditetapkan dengan Peraturan Pemerintah; ",II,4,1,k,Bukan
l.keuntungan selisih kurs mata uang asing; ,II,4,1,l,Bukan
m.selisih lebih karena penilaian kembali aktiva; ,II,4,1,m,Bukan
n.premi asuransi; ,II,4,1,n,Bukan
o.iuran yang diterima atau diperoleh perkumpulan dari anggotanya yang terdiri dari Wajib Pajak yang menjalankan usaha atau pekerjaan bebas; ,II,4,1,o,Bukan
p.tambahan kekayaan neto yang berasal dari penghasilan yang belum dikenakan pajak; ,II,4,1,p,Bukan
q.penghasilan dari usaha berbasis syariah; ,II,4,1,q,Bukan
r.imbalan bunga sebagaimana dimaksud dalam Undang-Undang yang mengatur mengenai ketentuan umum dan tata cara perpajakan; dan ,II,4,1,r,Bukan
s.surplus Bank Indonesia. ,II,4,1,s,Bukan
"(1a) Dikecualikan dari ketentuan sebagaimana dimaksud pada ayat (1), warga negara asing yang telah menjadi subjek pajak dalam negeri dikenai Pajak Penghasilan hanya atas penghasilan yang diterima atau diperoleh dari Indonesia dengan ketentuan: ",II,4,1a,,Bukan
a.memiliki keahlian tertentu sesuai dengan ketentuan peraturan perundang-undangan; dan ,II,4,1a,a,Bukan
b.berlaku selama 4 (empat) tahun pajak yang dihitung sejak menjadi subjek pajak dalam negeri. ,II,4,1a,b,Bukan
"(1b) Termasuk dalam pengertian penghasilan yang diterima atau diperoleh dari Indonesia sebagaimana dimaksud pada ayat (1a) berupa penghasilan yang diterima atau diperoleh warga negara asing sehubungan dengan pekerjaan, jasa, atau kegiatan di Indonesia dengan nama dan dalam bentuk apapun yang dibayarkan di luar Indonesia.TaxBase 6.0 Document - Page : 8(1c) Ketentuan sebagaimana dimaksud pada ayat (1a) tidak berlaku terhadap warga negara asing yang memanfaatkan Persetujuan Penghindaran Pajak Berganda antara pemerintah Indonesia dengan pemerintah negara mitra atau yurisdiksi mitra Persetujuan Penghindaran Pajak Berganda tempat warga negara asing memperoleh penghasilan dari luar Indonesia. ",II,4,1b,,Bukan
(1d) Dihapus. ,II,4,1d,,Bukan
(2) Penghasilan di bawah ini dapat dikenai pajak bersifat final: ,II,4,2,,Bukan
"a.penghasilan berupa bunga deposito dan tabungan lainnya, bunga obligasi dan surat utang negara, bunga atau diskonto surat berharga jangka pendek yang diperdagangkan di pasar uang, dan bunga simpanan yang dibayarkan oleh koperasi kepada anggota koperasi orang pribadi; ",II,4,2,a,Bukan
b.penghasilan berupa hadiah undian; ,II,4,2,b,Bukan
"c.penghasilan dari transaksi saham dan sekuritas lainnya, transaksi derivatif yang diperdagangkan di bursa, dan transaksi penjualan saham atau pengalihan penyertaan modal pada perusahaan pasangannya yang diterima oleh perusahaan modal ventura; ",II,4,2,c,Bukan
"d.penghasilan dari transaksi pengalihan harta berupa tanah dan/atau bangunan, usaha jasa konstruksi, usaha real estate , dan persewaan tanah dan/atau bangunan; dan ",II,4,2,d,Bukan
"e.penghasilan tertentu lainnya, termasuk penghasilan dari usaha yang diterima atau diperoleh Wajib Pajak yang memiliki peredaran bruto tertentu, yang diatur dalam atau berdasarkan Peraturan Pemerintah. ",II,4,2,e,Bukan
(3) Yang dikecualikan dari objek pajak adalah: ,II,4,3,,Bukan
